,gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
0,04/26/2012,,,Bibby,Mike,NYK,,,@,W,,,,,,,,Mike Bibby,,37,G,,,,3,12,1,1,0,1,4,1,25.0,,,,3,1,33.3,0,0,-,1,3,,CHA,,,,,
1,04/26/2012,,,Mullens,Byron,CHA,,,vs.,L,,,,,,,,Byron Mullens,,19,C,,,,5,1,1,0,0,3,6,2,33.3,,,,3,1,33.3,0,0,-,1,5,,NYK,,,,,
2,04/26/2012,,,Novak,Steve,NYK,,,@,W,,,,,,,,Steve Novak,,32,,,,,9,1,1,1,0,3,7,3,42.9,,,,6,3,50.0,0,0,-,0,6,,CHA,,,,,
3,04/26/2012,,,Fields,Landry,NYK,,,@,W,,,,,,,,Landry Fields,,31,G-F,,,,6,7,1,0,0,3,10,3,30.0,,,,2,0,0.0,0,0,-,0,5,,CHA,,,,,
4,04/26/2012,,,Higgins,Cory,CHA,,,vs.,L,,,,,,,,Cory Higgins,,6,,,,,1,0,1,1,0,0,2,0,0.0,,,,0,0,-,2,1,50.0,0,0,,NYK,,,,,
5,04/26/2012,,,Thomas,Tyrus,CHA,,,vs.,L,,,,,,,,Tyrus Thomas,,21,,,,,9,0,0,0,1,3,8,4,50.0,,,,1,1,100,0,0,-,1,0,,NYK,,,,,
6,04/26/2012,,,Biyombo,Bismack,CHA,,,vs.,L,,,,,,,,Bismack Biyombo,,25,C,,,,5,0,2,0,5,3,3,2,66.7,,,,0,0,-,4,1,25.0,2,1,,NYK,,,,,
7,04/26/2012,,,Carroll,Matt,CHA,,,vs.,L,,,,,,,,Matt Carroll,,6,,,,,1,0,0,1,0,0,1,0,0.0,,,,0,0,-,2,1,50.0,0,1,,NYK,,,,,
8,04/26/2012,,,Gadzuric,Dan,NYK,,,@,W,,,,,,,,Dan Gadzuric,,6,C,,,,0,0,1,1,1,2,2,0,0.0,,,,0,0,-,2,0,0.0,1,2,,CHA,,,,,
9,04/26/2012,,,Henderson,Gerald,CHA,,,vs.,L,,,,,,,,Gerald Henderson,,37,G,,,,21,4,2,0,0,1,12,7,58.3,,,,1,0,0.0,10,7,70.0,1,6,,NYK,,,,,
